,price,location,beds,baths,area,title,created_at
175,2.3 Crore,"Eden Valley, Faisalabad",3,4,5 Marla,A House Of 5 Marla In Eden Valley,Added: 23 hours ago
176,2.15 Crore,"Model City 1, Canal Road",3,4,5.2 Marla,5.25 Marla Newly Constructed Corner & East Open Beautiful House For Sale - Canal Road Faisalabad,Added: 5 days ago
177,1.1 Crore,"Al Noor Garden, Faisalabad",3,4,3 Marla,Brand New House Available For Sale - Al Noor Garden,Added: 5 days ago
178,3.85 Crore,"Wapda City - Block K, Wapda City",4,5,10 Marla,10 Marla Brand New House For Sale In K Block Wapda City Faisalabad,Added: 5 days ago
179,90 Lakh,"Makkah Garden, Faisalabad",3,3,2.5 Marla,2.5 Marla House For Sale,Added: 2 weeks ago
180,2.15 Crore,"Eden Orchard, Faisalabad",3,4,5 Marla,5 Marla Brand New House For Sale in Eden Orchard Sargodha Road Faisalabad,Added: 2 days ago
181,1.3 Crore,"Satiana Road, Faisalabad",,,4 Marla,House Available For sale In Satiana Road,Added: 4 days ago
182,1.3 Crore,"Satiana Road, Faisalabad",,,4 Marla,4 Marla House In Satiana Road Is Best Option,Added: 4 days ago
183,1.3 Crore,"Satiana Road, Faisalabad",,,4 Marla,Your Dream 4 Marla House Is Available In Satiana Road,Added: 4 days ago
184,1.3 Crore,"Satiana Road, Faisalabad",,,4 Marla,Ready To Buy A House 4 Marla In Satiana Road,Added: 4 days ago
185,7 Crore,"Canal Garden, Faisalabad",7,,12 Marla,12 Marla House for Sale,Added: 2 hours ago
186,4.25 Crore,"Model City 1, Canal Road",5,6,8.5 Marla,Beautiful Brand New House - Model City Faisalabad,Added: 23 hours ago
187,2.2 Crore,"Eden Executive, Eden Gardens",3,4,5 Marla,5 Marla Eden Excutive K block,Added: 10 hours ago
188,2.25 Crore,"Amin Town, Faisalabad",4,5,7 Marla,7 Marla House Amin town,Added: 10 hours ago
189,85 Lakh,"Gulshan-e-Rehman, Faisalabad",3,3,2.5 Marla,2.5 Marla Beautifully Constructed House Available For Sale At Gulshan E Rehman Satiana Road Faisalabad,Added: 22 hours ago
190,2 Crore,"Kashmir Road, Faisalabad",4,5,5 Marla,5 Marla House For sale In Kashmir Road,Added: 2 days ago
191,4 Crore,"Kashmir Road, Faisalabad",6,6,1 Kanal,House For sale In Kashmir Road,Added: 2 days ago
192,2.7 Crore,"Citi Housing - Phase 1, Citi Housing",5,6,10 Marla,Well Furnished 10 Marla House For Sale,Added: 2 hours ago
193,2.3 Crore,"Eden Valley, Faisalabad",3,4,5 Marla,5 Marla House For Sale,Added: 3 hours ago
194,88 Lakh,"Madina Town, Faisalabad",3,2,4 Marla,4 Marla House for Sale.,Added: 3 hours ago
195,85 Lakh,"Ghalib City, Faisalabad",3,4,2.5 Marla,2.5 Marla House for Sale.,Added: 3 hours ago
196,65 Lakh,"Khayaban Colony 3, Faisalabad",2,3,2.5 Marla,2.5 Marla House for Sale.,Added: 5 hours ago
197,6 Crore,"Eden Valley, Faisalabad",6,7,13 Marla,Ideal House Is Available For sale In Eden Valley,Added: 8 hours ago
198,2.3 Crore,"Citi Housing Phase 1 - Block D, Citi Housing - Phase 1",,,10 Marla,Ready To Buy A House 10 Marla In Faisalabad,Added: 20 hours ago
199,85 Lakh,"Green Town, Faisalabad",,,2.8 Marla,Ideally Located House For sale In Green Town Available,Added: 20 hours ago
200,1.75 Crore,"Citi Housing Society, Sialkot",3,4,5 Marla,5 Marla House In Citi Housing Society For sale,Added: 37 minutes ago
201,4 Crore,"Citi Housing Society - Block C, Citi Housing Society",5,6,10 Marla,Prime Location,Added: 3 hours ago
202,1.9 Crore,"Citi Housing Society - Block A Extension, Citi Housing Society",3,4,5 Marla,Prime Location,Added: 3 hours ago
203,3.5 Crore,"Citi Housing Society - Block C, Citi Housing Society",5,6,10 Marla,Get In Touch Now To Buy A Prime Location House In Sialkot,Added: 4 hours ago
204,4 Crore,"Citi Housing Society - Block A, Citi Housing Society",6,6,10 Marla,Corner,Added: 4 hours ago
205,2.45 Crore,"Citi Housing Society - Block B, Citi Housing Society",4,4,6 Marla,Get Your Dream House In Citi Housing Society - Block B Citi Housing Society - Block B,Added: 23 hours ago
206,1.15 Crore,"Dinpura, Sialkot",4,3,4 Marla,"4 Marla New Tripel Storey House Near Model Town, Capital Road At (rizwan Colony) Boota Road Link For Sale",Added: 1 day ago
207,1.7 Crore,"Citi Housing Society, Sialkot",3,4,5 Marla,A Perfect House Awaits You In Citi Housing Society,Added: 5 days ago
208,3.5 Crore,"Citi Housing Society - Block A Extension, Citi Housing Society",5,6,10 Marla,Prime Location,Added: 1 week ago
209,2.85 Crore,"Diamond City, Ghalib Road",4,5,6 Marla,Spanish Style Double House For Sale In Dimond City Phase 1 Block A,Added: 2 weeks ago
210,3 Crore,"Citi Housing Society, Sialkot",5,6,,Citi Housing Society House Sized 10 Marla Is Available,Added: 37 minutes ago
211,1.55 Crore,"Citi Housing Society, Sialkot",4,6,5 Marla,5 Marla House For Sale In Citi Housing Sialkot,Added: 6 hours ago
212,2.6 Crore,"Citi Housing Society - Block E, Citi Housing Society",5,4,,6 Marla House Up For sale In Citi Housing Society - Block E,Added: 10 hours ago
213,2 Crore,"Citi Housing Society - Block B Extension, Citi Housing Society",4,4,5 Marla,In Citi Housing Society - Block B Extension 5 Marla House For sale,Added: 23 hours ago
214,3.75 Crore,"Citi Housing Society - Block B, Citi Housing Society",5,6,10 Marla,House Of 10 Marla Is Available For sale In Citi Housing Society - Block B,Added: 23 hours ago
215,68 Lakh,"Dinpura, Sialkot",3,3,2 Marla,"2 Marla New Trippel Storey House Near Model Town, Capital Road At Deen Pura Main Link For Sale",Added: 1 day ago
216,58 Lakh,"Dinpura, Sialkot",3,3,2 Marla,"2 Marla New Trippel Storey House Near Model Town, Capital Road For Sale",Added: 1 day ago
217,1.8 Crore,"Diamond City, Ghalib Road",4,5,,Become Owner Of Your Prime Location House Today Which Is Centrally Located In Diamond City In Sialkot,Added: 0 minutes ago
218,2.75 Crore,"Kent Housing Scheme, Chenab Rangers Road",5,5,,Prime Location House For sale In Kent Housing Scheme,Added: 0 minutes ago
219,7.5 Crore,"Sunfort Defense Villas, Jammu Road",6,6,,Prime Location 13 Marla House For sale In Sunfort Defense Villas,Added: 0 minutes ago
220,7.5 Crore,"Sunfort Defense Villas, Jammu Road",6,6,,Prime Location 13 Marla House For sale In Sialkot,Added: 1 minute ago
221,1.75 Crore,"Citi Housing Society - Block A Extension, Citi Housing Society",4,5,5 Marla,Prime Location,Added: 35 minutes ago
222,1.72 Crore,"Citi Housing Society - Block A Extension, Citi Housing Society",4,5,5 Marla,Prime Location,Added: 35 minutes ago
223,1.6 Crore,"Citi Housing Society - Block F, Citi Housing Society",3,4,5 Marla,Prime Location,Added: 36 minutes ago
224,1.85 Crore,"Citi Housing Society, Sialkot",3,4,,Prime Location 5 Marla House In Citi Housing Society Best Option,Added: 38 minutes ago
225,4 Crore,"Al Razzaq Royals, Sahiwal",5,6,10 Marla,10 Marla Park Facing And Beautiful House In Al Razzaq Royal,Added: 6 days ago
226,1.8 Crore,"Punjab Government Servant Housing Scheme, Sahiwal",5,5,7 Marla,Get In Touch Now To Buy A 7 Marla House In Punjab Government Servant Housing Scheme Punjab Government Servant Housing Scheme,Added: 3 weeks ago
227,1.25 Crore,"Royal Palm City Sahiwal, Sahiwal",2,3,,House Of 5 Marla Is Available For sale,Added: 1 day ago
228,1.5 Crore,"Royal Palm City Sahiwal, Sahiwal",6,6,5 Marla,5 Marla House In Royal Palm City Sahiwal For sale At Good Location,Added: 1 day ago
229,1.35 Crore,"Rafi Gardens, Sahiwal",4,5,5 Marla,"Reasonably-Priced 5 Marla House In Rafi Gardens, Rafi Gardens Is Available As Of Now",Added: 1 day ago
230,1.9 Crore,"Muhammad Pur Road, Sahiwal",5,5,10 Marla,10 Marla Double story Furnished Home avaiable for sale.,Added: 5 days ago
231,85 Lakh,"Al-Karim Town, Arra Tulla Road",3,3,5 Marla,5 Marla Furnished House Available For Sale At Al Karim Town Swl.,Added: 5 days ago
232,2.35 Crore,"Jeewan City - Phase 5, Jeewan City Housing Scheme",5,6,7 Marla,House Of 7 Marla Is Available For sale In Jeewan City - Phase 5,Added: 6 days ago
233,2.35 Crore,"Jeewan City - Phase 3, Jeewan City Housing Scheme",5,6,6 Marla,Get Your Dream House In Jeewan City - Phase 3 Sahiwal,Added: 6 days ago
234,3.5 Crore,"Jeewan City - Phase 6, Jeewan City Housing Scheme",6,6,10 Marla,Centrally Located House In Jeewan City - Phase 6 Is Available For sale,Added: 6 days ago
235,1.4 Crore,"Jeewan City - Phase 5, Jeewan City Housing Scheme",4,5,5 Marla,Well-constructed House Available For sale In Jeewan City - Phase 5,Added: 6 days ago
236,1.6 Crore,"Jeewan City - Phase 6, Jeewan City Housing Scheme",4,5,5 Marla,Beautifully Constructed House Is Available For sale In Jeewan City - Phase 6,Added: 6 days ago
237,1.23 Crore,"Jeewan City - Phase 5, Jeewan City Housing Scheme",3,4,4 Marla,Jeewan City - Phase 5 4 Marla House Up For sale,Added: 6 days ago
238,3.35 Crore,"Jeewan City - Phase 4, Jeewan City Housing Scheme",6,6,10 Marla,Ideally Located House For sale In Jeewan City - Phase 4 Available,Added: 1 week ago
239,3.5 Crore,"Jeewan City - Phase 6, Jeewan City Housing Scheme",6,6,10 Marla,Become Owner Of Your House Today Which Is Centrally Located In Jeewan City - Phase 6 In Sahiwal,Added: 2 weeks ago
240,3.25 Crore,"Royal Palm City Sahiwal, Sahiwal",5,5,10 Marla,10 Marla Double Story House Royal Pam City Swl.,Added: 2 weeks ago
241,2.25 Crore,"Jeewan City - Phase 6, Jeewan City Housing Scheme",5,6,7 Marla,House In Jeewan City - Phase 6 For sale,Added: 2 weeks ago
242,3.5 Crore,"Jeewan City - Phase 6, Jeewan City Housing Scheme",6,6,,House Of 10 Marla Available In Jeewan City - Phase 6,Added: 18 hours ago
243,3.5 Crore,"Jeewan City - Phase 6, Jeewan City Housing Scheme",6,6,,Jeewan City - Phase 6 House Sized 10 Marla For sale,Added: 18 hours ago
244,1.6 Crore,"Jeewan City - Phase 6, Jeewan City Housing Scheme",4,5,,5 Marla House For sale In Jeewan City - Phase 6 Sahiwal,Added: 18 hours ago
245,1.23 Crore,"Jeewan City - Phase 5, Jeewan City Housing Scheme",3,4,,Prime Location House For sale In Jeewan City - Phase 5 Sahiwal,Added: 19 hours ago
246,95 Lakh,"Jeewan City - Phase 5, Jeewan City Housing Scheme",4,4,,Prime Location House Available For sale In Jeewan City - Phase 5,Added: 19 hours ago
247,95 Lakh,"Jeewan City - Phase 1, Jeewan City Housing Scheme",3,4,,Prime Location 3 Marla House In Jeewan City - Phase 1 Is Available For sale,Added: 19 hours ago
248,2.35 Crore,"Jeewan City - Phase 3, Jeewan City Housing Scheme",5,6,,Prime Location House For sale Is Readily Available In Prime Location Of Jeewan City - Phase 3,Added: 19 hours ago
249,3.49 Crore,"Jeewan City - Phase 3, Jeewan City Housing Scheme",6,6,,Prime Location 9 Marla House Available In Jeewan City - Phase 3 For sale,Added: 19 hours ago
250,4.45 Crore,"DHA Defence - Sector B, DHA Defence",6,6,1 Kanal,DHA BAHAWALPUR SECTOR B 1 KANAL MODERN HOUSE FOR SALE,Added: 1 day ago
251,2 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,12 Marla,Buying A House In Bahawalpur?,Added: 3 weeks ago
252,1.65 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,9 Marla,9 Marla Possession Villa Available for Sale in DHA Bahawalpur Sector-D.,Added: 3 weeks ago
253,1.45 Crore,"Government Employees Cooperative Housing Society, Bahawalpur",5,5,7 Marla,7 Marla Double Storey Beautiful House,Added: 1 week ago
254,6.5 Crore,"Hashmi Garden, Bahawalpur",6,6,1 Kanal,Prime Location In Hashmi Garden 1 Kanal House For sale,Added: 4 weeks ago
255,1.2 Crore,"DHA Defence - Villa Community, DHA Defence",3,4,6 Marla,6 Marla Villa Ready to Live for Sale,Added: 3 hours ago
256,1.28 Crore,"Satellite Town, Bahawalpur",3,2,7 Marla,Old construction house for sale in Satellite Town C Block,Added: 1 week ago
257,4.5 Crore,"DHA Defence, Bahawalpur",6,6,1 Kanal,1 Kanal Ideal Located New Modern Design House Available for Sale,Added: 1 week ago
258,1.22 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,6 Marla,6 Marla Modern Design Villa Available for Sale at Reasonable Price,Added: 2 weeks ago
259,1.65 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,9 Marla,9 Marla House Available For sale In DHA Defence - Villa Community,Added: 20 hours ago
260,1.35 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,6 Marla,Three Side Open Corner Villa Touching 80 Feet Road Direct From Owner,Added: 3 days ago
261,1.63 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,9 Marla,9 Marla Possession Villa Available for Sale in DHA Bahawalpur Sector-D.,Added: 1 week ago
262,1.95 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,12 Marla,12 Marla Possession Villa Available For Sale in DHA Bahawalpur Sector-D.,Added: 2 weeks ago
263,2.7 Crore,"DHA Defence - Villa Community, DHA Defence",4,4,15 Marla,15 Marla Askari Housing Villa Available for Sale in DHA Bahawalpur.,Added: 3 weeks ago
264,1.25 Crore,"DHA Defence - Villa Community, DHA Defence",4,3,6 Marla,Dha Bahawalpur 06 Marla Possession Villa Available For Sale,Added: 4 weeks ago
265,1.85 Crore,"City Garden Housing Scheme, Jhangi Wala Road",6,6,7 Marla,City gardan housing scheme Mai 6.70 Marley Trible story house for sale Main 50 feet road par,Added: 7 hours ago
266,2.4 Crore,"Allama Iqbal Avenue, Jhangi Wala Road",5,6,7 Marla,Allama Iqbal avenue Town Mai 7 Marley ki double story brand new luxury Spanish house for sale hai,Added: 7 hours ago
267,1.35 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,8.9 Marla,This Is Your Chance To Buy House In Bahawalpur,Added: 17 hours ago
268,1.95 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,12.6 Marla,End Your Search For House Here And sale Now,Added: 17 hours ago
269,1.15 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,6 Marla,House Of 6 Marla Available In DHA Defence - Villa Community,Added: 17 hours ago
270,1.22 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,6 Marla,This Is Your Chance To Buy House In Bahawalpur,Added: 17 hours ago
271,1.23 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,6 Marla,Ideally Located House For sale In DHA Defence - Villa Community Available,Added: 17 hours ago
272,1.24 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,6 Marla,End Your Search For House Here And sale Now,Added: 17 hours ago
273,1.68 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,9 Marla,Get In Touch Now To Buy A House In Bahawalpur,Added: 17 hours ago
274,1.7 Crore,"DHA Defence - Villa Community, DHA Defence",3,3,9 Marla,House Available For sale In DHA Defence - Villa Community,Added: 17 hours ago
275,2.44 Crore,"Javaid Shahid Road, Abbottabad",6,6,7 Marla,7 Marla Double Storey House For Sale,Added: 2 hours ago
276,8.5 Crore,"Habibullah Colony, Abbottabad",6,6,2 Kanal,Beautiful 2 Kanal House With Basement For Sale At Ideal Location,Added: 3 weeks ago
277,1.9 Crore,"Bilal Town, Abbottabad",8,6,10 Marla,10 Marla House for sale,Added: 4 days ago
278,3.3 Crore,"Nawansher, Abbottabad",,,10 Marla,Triple Storey House For Sale In Kohsar Town Abbottabad,Added: 2 weeks ago
279,1.2 Crore,"Officers Colony, Abbottabad",3,3,5 Marla,Single Storey House For Sale In Officer Colony Abbottabad,Added: 37 minutes ago
280,75 Lakh,"Thanda Choha, Abbottabad",2,2,4 Marla,4 Marla Single Storey House,Added: 2 hours ago
281,1.45 Crore,"Gulfam Town Society, Abbottabad",3,3,7 Marla,7 Marla Single Storey House,Added: 1 day ago
282,1.3 Crore,"Thanda Choha, Abbottabad",3,3,7 Marla,7 Marla single Storey House,Added: 1 day ago
283,2.1 Crore,"Small Industry Road, Abbottabad",6,6,6.5 Marla,House for sale,Added: 1 day ago
284,2.3 Crore,"Shimla Hill Road, Abbottabad",4,3,10 Marla,10 Marla House for sale,Added: 1 day ago
285,3.5 Crore,"Sherwan Road, Abbottabad",10,6,10 Marla,House for sale,Added: 1 day ago
286,3.3 Crore,"Bilal Town, Abbottabad",8,6,12 Marla,12 Marla House for sale,Added: 1 day ago
287,95 Lakh,"Maira Tal Road, Abbottabad",3,3,5 Marla,5 Marla single story house,Added: 2 days ago
288,1.2 Crore,"Small Industry Road, Abbottabad",6,5,6 Marla,6 Marla House for sale,Added: 4 days ago
289,2.8 Crore,"Jinnahabad, Abbottabad",6,6,7 Marla,Brandnew house for sale,Added: 1 week ago
290,1.1 Crore,"Maira Muzzafar, Abbottabad",3,3,7 Marla,7 Marla House,Added: 1 week ago
291,90 Lakh,"Maira Muzzafar, Abbottabad",3,3,4 Marla,4 Marla House for sale,Added: 1 week ago
292,1.1 Crore,"Bilal Town, Abbottabad",3,3,5 Marla,5 Marla Single Storey House,Added: 1 day ago
293,3.5 Crore,"Gulfam Town Society, Abbottabad",8,6,15 Marla,Looking For A House In Gulfam Town Society,Added: 1 day ago
294,2.9 Crore,"Habibullah Colony, Abbottabad",6,6,10 Marla,10 Marla House,Added: 1 day ago
295,4 Crore,"Usmanabad, Abbottabad",7,6,1.1 Kanal,22 Marla House For Sale,Added: 1 day ago
296,3.65 Crore,"Javaid Shahid Road, Abbottabad",4,6,12.6 Marla,white house for sale,Added: 3 days ago
297,2.95 Crore,"Habibullah Colony, Abbottabad",6,6,10 Marla,Double Storey House Available For Sale In Habibullah Colony Abbottabad,Added: 4 days ago
298,2.4 Crore,"Jinnahabad, Abbottabad",3,3,10 Marla,Single Storey House For Sale In Lower Jinnahabad,Added: 4 days ago
299,1.5 Crore,"Small Industry Road, Abbottabad",6,6,5.5 Marla,5.5 Marla Double Storey New House,Added: 1 week ago
300,13 Crore,"Ihata Noor Khan, Murree",10,5,1.5 Kanal,A Beautiful House For Sale,Added: 4 weeks ago
301,4.5 Crore,"Bhurban, Murree",6,6,9 Marla,Stunning 2025 Square Feet House In Bhurban Available,Added: 2 weeks ago
302,1.35 Crore,"New Murree, Murree",2,1,3.3 Marla,Fully Furnished Cozy Cottages With Mountainous View In New Murree,Added: 3 hours ago
303,63 Lakh,"New Murree, Murree",,1,1.3 Marla,300 Square Feet House For Sale In New Murree,Added: 3 hours ago
304,90.72 Lakh,"New Murree, Murree",1,1,1.9 Marla,Luxury Cottages In New Murree,Added: 3 hours ago
305,1.23 Crore,"New Murree, Murree",1,1,2.5 Marla,Luxury Cottages in New Murree,Added: 3 days ago
306,1.65 Crore,"New Murree, Murree",2,1,3.3 Marla,Luxury Cottages In Mountain,Added: 3 days ago
307,1.57 Crore,"Patriata, New Murree",2,2,3.3 Marla,2 Bed Luxury Cottages for Sale In Murree in Holiday Country Club,Added: 1 week ago
308,1.12 Crore,"New Murree, Murree",1,1,1.9 Marla,Luxury Cottages In New Murree,Added: 2 weeks ago
309,99 Lakh,"New Murree, Murree",2,1,2.4 Marla,House For Sale In New Murree New Murree,Added: 3 weeks ago
310,2.8 Crore,"Patriata, New Murree",2,3,4.4 Marla,Luxury Villa In Murree,Added: 3 weeks ago
311,1.16 Crore,"Patriata, New Murree",,2,2.4 Marla,Holiday Country Club Cottage,Added: 2 weeks ago
312,15 Crore,"Gharial Camp, Murree",4,3,2.1 Kanal,2.1 Kanal House Up For sale In Gharial Camp,Added: 2 weeks ago
313,10.5 Crore,"Kuldana Road, Murree",8,6,2.7 Kanal,54 Marla House Is Available For Sale Situated At Main Wood Berry Road,Added: 3 weeks ago
314,8 Crore,"Darya Gali, Murree",5,5,3.5 Kanal,3.5 kanal residential house for sale,Added: 4 weeks ago
315,35 Crore,"Mall Road, Murree",,,1.3 Kanal,"27 Marla Hotal For sale 
prime location 
Muree Mall road",Added: 2 weeks ago
316,4.3 Crore,"New Murree, Murree",8,6,9 Marla,Murree Main Beautiful House For sale 3 Story,Added: 3 days ago
317,4.5 Crore,"Murree Expressway, Murree",4,5,11.1 Marla,Murree Masoot Brand New House For Sale,Added: 7 hours ago
318,5.2 Crore,"Murree Expressway, Murree",5,6,12.4 Marla,Murree Masoot Brand New House For Sale,Added: 7 hours ago
319,4.5 Crore,"Murree Expressway, Murree",4,5,11.1 Marla,Murree Masoot Brand New House For Sale,Added: 7 hours ago
320,1.12 Crore,"New Murree, Murree",3,3,1.8 Marla,Luxury Villas Is Available In Murree,Added: 5 days ago
321,80 Lakh,"New Murree, Murree",1,1,2.2 Marla,Luxurious Cottages in the Heart of Murree,Added: 5 days ago
322,2.45 Crore,"Kuldana Road, Murree",2,2,10 Marla,10 Marla Hot Location House For Sale At Best Location In Muree,Added: 1 week ago
323,2.1 Crore,"Patriata, New Murree",2,2,4.4 Marla,Discover Your Dream Home: Two Bed Cottages For Sale At Holiday Country Club Murree - Invest Now And Start Living Your Best Life,Added: 1 week ago
324,1.88 Crore,"New Murree, Murree",2,2,3.3 Marla,Get Your Rental Cottage in Murree in Signature Resort Murree,Added: 2 weeks ago
325,1.05 Crore,"Nashrah Villas, Lahore Road",,,4.6 Marla,House For Sale In Nashrah Villas,Added: 6 days ago
326,1.05 Crore,"Nashrah Villas, Lahore Road",,,4.6 Marla,House For Sale In Nashrah Villas,Added: 6 days ago
327,85 Lakh,"New Satellite Town, Sargodha",4,3,4 Marla,House For Sale,Added: 3 days ago
328,2.5 Crore,"Satellite Town, Sargodha",4,5,5 Marla,5 MARLA DOUBLE STOREY HOUSE FOR SALE IN D BLOCK OLD SATTILITE TOWN.,Added: 2 weeks ago
329,2.55 Crore,"Canal Palms Luxury Housing Scheme, Sargodha",6,6,8 Marla,Centrally Located House In Canal Palms Luxury Housing Scheme Is Available For Sale,Added: 2 weeks ago
330,1.1 Crore,"Javed Colony, Sargodha",3,3,4 Marla,Brand New Double Storey House For Sale,Added: 1 month ago
331,2.3 Crore,"Khayaban-e-Shair, Sargodha",5,5,5 Marla,Brand New House For Sale,Added: 2 months ago
332,1.25 Crore,"University Road, Sargodha",4,3,4 Marla,Beautiful Four Marla Double Storey House At University Road Sargodha,Added: 3 months ago
333,6.3 Crore,"Maqam-e-Hayat, Sargodha",10,5,10 Marla,brand new house . double story . total 11 rooms 5 bathrooms 2 kitchen. . back yard . . garage. . clean drinking water. . gas . . total five minute distance from district courts area.,Added: 2 months ago
334,1.75 Crore,"Al Fareed Garden, Sargodha",,,5 Marla,Triple Story House,Added: 16 hours ago
335,2.3 Crore,"Khayaban-e-Shair, Sargodha",4,6,6.2 Marla,6.25 MARLA DOUBLE STOREY HOUSE FOR SALE IN KHAYABAN-E-SHAIR,Added: 3 days ago
336,2.8 Crore,"Qartaba Town, Sargodha",3,3,10 Marla,10 Marla house for sale qartaba yown,Added: 2 weeks ago
337,4.5 Crore,"Khayaban-e-Sadiq, Sargodha",6,6,12 Marla,12 Marla Brand New Double Storey House For Sale in Khayaban-e-Sadiq,Added: 2 weeks ago
338,2.5 Crore,"Khayaban-e-Shair, Sargodha",5,5,6 Marla,6 Marla Double Storey House For Sale in Khayaban-e-Shair,Added: 3 weeks ago
339,3.3 Crore,"Khayaban-e-Sadiq, Sargodha",5,5,12 Marla,12 Marla Double Storey House For Sale in Khayaban-e- Sadiq,Added: 3 weeks ago
340,2.2 Crore,"Satellite Town, Sargodha",5,5,5 Marla,5 Marla Double Storey Brand New House in C block Satellite Town,Added: 3 weeks ago
341,1.05 Crore,"Nashrah Villas, Lahore Road",,,4.6 Marla,House For Sale In Nashrah Villas,Added: 4 weeks ago
342,1.3 Crore,"Others, Sargodha",3,3,4 Marla,House For Sale,Added: 6 hours ago
343,2.8 Crore,"Shadaab Town, Queens Road",5,6,5 Marla,New House Double Storey For Sale,Added: 1 week ago
344,2 Crore,"Gulberg City, Qainchi Mor",5,5,5.5 Marla,5.5 Marla Brand New Double Storey Spanish Style House For Sale in Gulberg City,Added: 2 weeks ago
345,2.95 Crore,"Farooq Colony, Sargodha",6,6,9.5 Marla,9.5 MARLA DOUBLE STOREY HOUSE FOR SALE IN KHAYABAN-E-ASAD,Added: 2 weeks ago
346,2.8 Crore,"Khayaban-e-Sadiq, Sargodha",4,4,10 Marla,10 MARLA DOUBLE STOREY HOUSE FOR SALE IN KHAYABAN-E-SADIQ PHASE 1,Added: 2 weeks ago
347,5 Crore,"Khayaban-e-Sadiq, Sargodha",5,5,18 Marla,18 Marla House for sale Main road Khayaban-e-sadiq,Added: 3 weeks ago
348,1.05 Crore,"Nashrah Villas, Lahore Road",,,4.6 Marla,House For Sale In Nashrah Villas,Added: 4 weeks ago
349,4.95 Crore,"Askari 5 - Sector J, Askari 5",4,4,"3,000 sqft",4 Bed Flat On Prime Location Is Available For Sale In G 9 Building SEC J ASK V MALIR,Added: 1 hour ago
350,2.5 Crore,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",4,4,"2,000 sqft",property of sale,Added: 1 day ago
351,2.6 Crore,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",4,4,"2,000 sqft",Property of sale,Added: 1 day ago
352,3.99 Crore,"Sea View Apartments, Karachi",3,4,"2,700 sqft",FULLY RENOVATED SEAVIEW APARTMENT SECOND FLOOR AVAILABLE FOR SALE,Added: 1 day ago
353,60 Lakh,"Bahria Town - Precinct 19, Bahria Town Karachi",2,2,950 sqft,Spacious Prime Location Luxury Apartments Are Available For sale In Ideal Location Of Bahria Town - Precinct 19.,Added: 1 day ago
354,3.15 Crore,"PECHS Block 6, PECHS",3,3,"1,850 sqft",Reserve A Prime Location Flat Now In PECHS Block 6,Added: 2 hours ago
355,1.5 Crore,"Gulshan-e-Iqbal Town, Karachi",3,3,"1,550 sqft",3 Bedroom D D Apartment For Sale,Added: 4 hours ago
356,80 Lakh,"Gulshan-e-Iqbal Town, Karachi",2,2,950 sqft,2 Bedroom Flat For Sale Gulshan E Iqbal Karachi,Added: 4 hours ago
357,90 Lakh,"Gulshan-e-Iqbal Town, Karachi",3,3,950 sqft,2 Bedroom Apartment For Sale Gulshan E Iqbal Karachi,Added: 4 hours ago
358,62 Lakh,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",2,2,950 sqft,2 bedroom d d with roof terrace apartment for sale,Added: 4 hours ago
359,4.28 Crore,"Askari 5 - Sector J, Askari 5",3,3,"24,300 sqft",WEST OPEN MOST PRIME LOCATION 3BED Flat In Askari 5 - Sector J Is Available,Added: 1 hour ago
360,4.1 Crore,"Askari 5 - Sector J, Askari 5",3,3,"2,700 sqft",3 Bed Upper Floor Brand New Available For Sale Sec J Ask V Malir,Added: 1 hour ago
361,6.5 Crore,"Bath Island, Karachi",3,4,"2,000 sqft",Outclassed 3 Bed West Open Apartment for Sale,Added: 3 minutes ago
362,8.5 Crore,"Bath Island, Karachi",4,6,"3,000 sqft",Flat Is Available For sale In Bath Island,Added: 26 minutes ago
363,8.25 Crore,"Bath Island, Karachi",4,6,"2,800 sqft",Brand New Apartment Available For Sale,Added: 26 minutes ago
364,65 Lakh,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",2,2,"1,100 sqft",Flat For Sale - 13 E Corner With Rooftop - Gulshan E Iqbal,Added: 46 minutes ago
365,1.4 Crore,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",3,4,"1,200 sqft",Duplex style flat for sale.,Added: 1 hour ago
366,27.6 Lakh,"Bahria Town Karachi, Karachi",,1,276 sqft,Studio Apartment Is Available On Installments In Bahria Town Karachi,Added: 4 minutes ago
