,Tweet
132,The Sehat card is truly a blessing for those in need of medical attention. Yesterday saw a live situation in one of the most expensive private hospitals of Lahore. Plz keep your political affiliation aside and appreciate what is good. #SehatCard #healthcare #initiative #Pakistan
133,@Faizankhaan91 Baqi mjhy nhi pata lekin khan sb ka sehat card aur ehsas program  nawaz ky sarkon sy lakh darjy behtr kaam hain
134,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/aFoxHMNhZK
135,"1.Dams Started From Zardari and MNS Tenure,No Dam initiated in PTI.
2.Nill Reforms.
3.BISP Renamed as Ehasass
4.Sehat card collusive practice of Insurance and Private sector on Cost of total health budget..
5.PTI put halt on CPEC SEZ which were to be completed by 2020"
136,@najamwalikhan Bus Teri pen di phuddi te ni laggia baqi sehat card Basha Dam sab per laga ha
137,@CMShehbaz Shut up Shut up Shut up we want Atta at 55 rupees kg 154 rupees petrol Ehsas program Panagahen Sehat card he provide us.what you did Beggars can not be chooser.Please resign go home this is our country we will decide what is good for us
138,"@dr_rita39 @CMShehbaz @ImranKhanPTI There z no match between Nawaz Sharif nd Imran khan. Due 2 Imran khan's Sehat card, people r doing cardiac bypass surgery 4 free, spinal surgery nd other operation r 4 free. Ehsas kefalath programme has given food safety 2 d poor. D major achievement of MNS z Evenfield property."
139,"@Callsign_Ciphar It’s accessible in Punjab at least as the money has already been disbursed to insurer till 2024. So yes, you can avail sehat card facilities as of now. This is confirmed news through a relevant person."
140,"@Asim287 @tonyashai @ImranKhanPTI I mentioned sehat card, but apparently that was nawazus idea?
Langar khana-i believe benazir probably started that 
Stable economy,increased Gdp of 6% in his last yr as confirmed by analysts   independent  of paksitan so not IK hearsay-but again that was maybe due to diesel"
141,"@najamwalikhan Sehat card chota project
DAM jispay tera shahbaz shohi marnay photo session kr k aya
Wohi buzdar jis k dor main 10 saal bad metro 40% sastay rate py mili"
142,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/Cwi26TbzeS
143,@humnewspakistan @ZeshanMalick Sehat card ....or b bht saray Hain par tusan sarkan tou Baar nhi ana
144,@AllamaDehshat @syedaizabatool How many people got Sehat card from both of these governments? How many people got healthcare free?
145,"@najamwalikhan Lgta ha SS ki kafi ho gai ha....
30saal mn sehat card jesa mansooba ni la sky SS sb"
146,@HafizNaveedAkh1 @betterpakistan Sehat card band hogaya warna aap ka elaaj free me ho jata.
147,@miandawoodadv Sehat card aap kaa munsooba tha par Dunoon may band. He was the only who made it to reality . Never saw sehat card in nawaaz government on such a large scale
148,"@CMShehbaz He was performing brilliantly. 
GDP was 6, and in your time, it is negative,
there was a sehat card, and you stopped it
He created 5.5 million jobs in 3 and half years even though he faced pandemic, check your statistical records, and now people are jobless.

You are a dirty man."
149,"Feel the difference.
Imran Khan:Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.
Maryam chorni:Tosha Khan, Ghari chor, Fitna Fasad, Nashai, Niazi, Na ehel petrol bomb, dehshatgard.
#imrankhanPTI https://t.co/4oxkKigeNW"
150,@MuhammadASafdar Bhai sahib kuch b daikh kar start nahi hoty pehly es k barry main government ke policy daikh laity hain jo Aap ny zehmat nahi kee @ImranKhanPTI ny yeh card nahi 1 poora program start kiya thha sehat card jis ka hissa hy or os main 1 million tak ka Aap ilaaj karwa sakty thhy
151,@ASaghir54 @PakStartup KPK mn sehat card start hua hai pehle jin k pas card tha unka ilaj hota tha bad mn sare kpk ko free kr diya gya tha NIC pe.
152,@Callsign_Ciphar Kpk is sehat card is?
153,@Malishah_bacha @AyeshaRajabAli1 Sab se bara khatra sehat card tha. Kahin in ka elaaj na ho jae.
154,"@KhSaad_Rafique 6.2 GDP, booming LSM, h ev Tax collection, over 5 B $ in Roshan D, appx double $ reserves from what his Govt received, highest ever remittances, Booming textile, IT, sorted Rekodik &amp; karkay fines, around 10$, Sehat card, Ehsas program, Kamayb jawan. 
That too with 2 y of Covid."
155,"Dear Punjab , KPK is Sehat Card is still accessible to you after PDM Government?"
156,"@khaiberpanizai @iihtishamm khaibar bhai In road traino ko na pichy ly lo ap loog 
is sy ata milta na is sy sasti cheezy milti a na 
in roads sy langarkhany milty a na 
road aur traino sy  sehat card milty a na R8"
157,@miandawoodadv @_MWaleedKhalid_ bro look here👀 yeh mtlb sehat card par bhi khel rhy hain youthiye???
158,"You look: mentally ill mean girl👸
Actually: kind person dg mental yg sehat😁

Follower: 700?
Actually: 271M

You look: 21 y.o
Actually: 23

You look: 165cm
Actually: 156 cm

Status: suami suguru😋
Actually: adalah BENAR

reply with your credit card info and ill give you the qs❤️"
159,"@NajamAli2020 6.2 GDP, booming LSM, h ev Tax collection, over 5 B $ in Roshan D, appx double $ reserves from what his Govt received, highest ever remittances, Booming textile, IT, sorted Rekodik &amp; karkay fines, around 10$, Sehat card, Ehsas program, Kamayb jawan. 
 That too with 2 y of Covid."
160,"@nouri70124 @tonyashai @ImranKhanPTI Health card was started by Plmn gov which he changed by sehat insaaf card..
2ndly what's his role for economy of Pakistan??
How much investment during his 4 years..
Best initiatives was murghi la lo, katy la lo"
161,"@FarazMagsi @adeelraja ... Naya Pakistan Housing Scheme for ppl who can't but their own house, Sehat Card with increased limit to cover health bills, Qayam Khanay for homeless, 2021 more than 10k IT companies were registered in Pakistan. PTI's narrative ""Future in Technology"". Etc etc 2/2"
162,@RanaSal32994304 @AdeelNisar ilaaj ki zaroorat hy pori.. mazarat IK ki sehat card facility khatam hu gai.. nai tu ap ko reg kra ky ilaj krwa deta.. abhi apni jaib sy krwou ilaj..
163,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/SmuyhlxleD
164,"@princeAlishona @PakStartup Bhai, Sehat card project kis nain start kia tha,,, srf itna pata kr k batana bs
Baqi SKH kia Imran khan akelay nain banaya"
165,@FarrukhMobeen4 @OryaMaqboolJan Chalo sehat card khol do phir.. Neat and clean system bana do
166,@Mansoor26331743 @najamwalikhan @PTIofficial Sehat Card hahaha https://t.co/NevjLjHBBe
167,@ASaghir54 @PakStartup G g Is liye to Shaukah khanam se ghareeb ilaj krwa skte sehat card se kafi logon ka ilaj free hua humre gaon k 3 logon ka free dil ka operation hua wo the b ghareeb ab Katar supporters ban gye
168,"@hinaparvezbutt Okay anti , apni ankhon k ilaj kerwa please.
Pesay nhi haen tw Khan shb k sehat card py krwa laen."
169,"Imran Khan's anti-poverty initiatives, such as the Kamyab Jawan Program and the Sehat Insaf Card, are helping to uplift those who are struggling the most.
@WarriorsOfPak 
#LastSolutionImranKhan https://t.co/IDmJbRfDPG"
170,"@sialkotiview @SdqJaan Jinab ossy tou sirf 3.5 years ki Govt mili oss main b 2 year corona phir bhi mulk bohat achy sy chalaya aur tamam kam kiye ehsas program extend kiya, Gharibo k liye langar khanna aur sehat card jaisi facilities aur naya pakistan housing scheme py b ammal kiya"
171,Jes Tara tumara dajali fina niazi jes KO tum kabi peer mante ho kabi qalander muje tuo tum logon py shaq hai aur sehat card yad hai log khawar hote that mere sath b howa hai sharam Karo kya kar rehy ho tum log
172,@NajamAli2020 Initiative of Insaf sehat Card u may have 1 Million health insurance anytime anywhere. ..
173,"@hinaparvezbutt Apka dimaghi or aankho ka ilaj.. In Sha Allah
Sehat card pr Hum karwaye gye.. Bas ap ne ghabrana nahi hai 🔥😎"
174,"Hari ini saya sakit. Besok disuruh jangan kuliah dulu sama ibu. Tapi besok saya ada urusan Hima, foto untuk ID Card. Harus gimana? Tapi emang saya juga kayaknya belum terlalu sehat buat ke Jatinangor."
175,"Imran Khan has implemented various reforms in Pakistan, including an anti-corruption campaign &amp; efforts to improve the country's economy. He has also prioritized environmental conversation and launched initiatives such as the B-Tree. Sehat card was help to poor or forevery Paki"
176,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/yoUYc5Ep6F
177,"@kazmiuzair @AmalSyed1 You need rehab, inshallah sehat card will cover those! https://t.co/8OCrsHbFCi"
178,"Muft Lanarkhaany or muft ilaj (Sehatcard) sy sasta atta ki linoo tk ka safar
#Welcome #back #to #purana #Pakistan"
179,@atifthepoet Atif bhai sirf bughz ha apka ya pata nahi usne apse qarza lia ha uske time pe jo tha aj se behtar tha business b economic indicators bhi dollar b khud decide kar rhi thi market lcs b khuli thin bhook b mit rhi thi sehat card b ok tha bhr se paisa b arha tha islam b panap rha tha
180,@KhSaad_Rafique Sehat xard jysa project graib awam k lea bht bara sahara hy jissy aysy operation b hoye hain jo log gurbat ki waja sy moat ki dua kiya krty thy wo b sehat card ki waja sy aj sehat or tandrusti k sth dua krty hain khan shb k lea or beshak Allah sb kch dekhny or janny wala hy
181,"@najamwalikhan @PTIofficial Jo halat usy mily ye nhe pichlo ny kia kiya mgr sirf  Coronavirus ki wja he buhat shdeed thi,
Is k kenhy per he remittances men izafa hua, Dams per kam shuru hua kisano ki madad krny sy achy nateejy ay ehsas prog ny sahi kam kia, Sehat card s logo ko faida hua or buhat kuch"
182,"@TararAttaullah Tumhe Kharish ki bimari lag chuki hai, Sehat Card lekar apna ilaj karwawo"
183,@miandawoodadv Haha ia ko b ek sehat card dena tha na bechara uk me b ilaj nh ho rha iska https://t.co/Cfesz0Z1AH
184,@miandawoodadv Phir 2018 se pehle sehat card pr elaj kio nhi hota tha
185,"@khaiberpanizai @iihtishamm Imran Khan

Growth rate 6 percent
Sehat card
Koi bhooka na soye scheme
Kamiyab nojawan programme
Remittances 38% increased
Shelter houses
Industry growth
Kisaan programme.

Nawaz sharif ne har woh kaam Kiya jis Mai thaikedaaron se paisa kamana tha."
186,@AqeelAltaf01 @SdqJaan Karona app ka nawaz sharif alaya tha jiss ne puri dunya ki aconomy ko barbaad kar rakh dia tha...Sehat card tumhari maryam baji ne band karwaya..iss se bardi begarti or kia ho sakti hay.
187,@HamidMirPAK @ImranKhanPTI Is it true that sehat card in kpk is ending.
188,"Any Govt with an ounce of shame and integrity could have used Dr Nishtar's Ehsas program to distribute Ata/ration bags..but how could they let go of any opportunity to humiliate the common man.. Sehat Card, PanahGah, Langarkhanay, Ehsas Program...long list of Imran's humanity."
189,@miandawoodadv Kaash tumhay english ati hoti 😁....salya vekh likhya kee try pio nai...ta salya sehat card pahlay KPK ma start hoya ...ta salya jinda da tu sala wa ona punjab vch chori keeta...salya history check kr ...thek aa salyaa ???
190,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/Pe6iLLu1KI
191,"@shami_chaudhry1 @noirroad @ShazaFK @ImranKhanPTI Agr Tasub ki ainak utar k daikho to BHT Kuch nzr aey ga.
Sehat Card
Panagahin
Asl me uss k programs Poors k liaye thay to tm logo ko tkleef khas
Wrna jitna Acha COVID k bad b Mulk stable tha
Wo tmhary bugaz me tmhain nzr nhi ana"
192,"@radius_earth @ThisMyHandle The reforms you are talking about were amazing. But they were still marred beaurucratic incompetence.

Even in those reforms we provatized education and healthcare. e.g Sehat Card payed people to get health care from private hospitals."
193,"@NajamAli2020 Exactly the way how it was achieved earlier.
Sehat card was running successfully
Housing scheme through bank was successfully running
Tourism was successfully running
Bumper crops were obtained in PTI tenure
Exports were enhancing and labour was short in faisalabad"
194,"@say2yasin @SdqJaan naya Pakistan housing society ka name sune ho, 
Sehat card ka name sune the, 
panagah ka name to sune hoge, 
2018 se 2022 tak yeh btao k government teachers kitne bharti hue hen man jaonga patwari bhai ko, baqe ni poch raha nokriyon ka sirf teachers ka btao pore pakistan ka"
195,@MuhammadASafdar in which province was sehat card first launched abd functioned I would really like to know Mr safdar
196,"@najamwalikhan Bhai shb ss apne paise se bnata to aap khte or in mein se aik kam bhi ghareebon k liye ni kiya dramabaz ne,ghareebon k liye sehat card diya khan ne inhon ne bnd kr diya"
197,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/vDtalxuly4
198,@SMBhalli @Dr_AyeshaNavid @PTIofficial Os wqt ak gareeb ky pas sehat card tu tha ehsas program tu tha agr ghr me kch na hota langar khane se khaa aty lkn yo hmre maa bhne atty ke line me zalil na hoti jitne aj ho rh hai bs kr do bhai koi ak kam btao PDM ka haqoqmat m ane ky bd srf cases khtm o rh hai
199,@YezrK @MAbdullahGul @FarrukhHabibISF Sehat Card kis ne shru kia tha?
200,"@teepusahab This health card was only limited to the recipients of the Benazir Income Support Prog. You need to read articles on massive corruption in BISP registration. Plus it was NON-UNIVERSAL.
Finally, the real UNIVERSAL health coverage was launched by the KP (Sehat Sahulat Prog) in 2015"
201,@uzair48209851 @SarfrazzPMLN Sb dramay bazi ho rahi ha sehat card pr koi faida ni mil raha hospital walay accept ni kr rahy
202,"Khan Saab’s plan to revive and stabilize Pakistan’s economy 
1. Bring back sehat card for every family.    2. Given incentives and opportunities for overseas investors.                                             3. increase tax base جلسہ_نہیں_ریفرینڈم_ہے#"
203,"@WerdaMunir Sehat card announced from ppp in 2016 pmln started
Did you know that pervez elahi banned sehat card
So who is responsible ?"
204,"Wait, 
whenever a PTI supporter is asked k koi ek kaam bta do Imran khan ka, he/she rapid fires, ""Sehat card nhi dia tm logon ko!"" 
But here we can see Sehat Card as PML-Ns initiative which is even retweeted by Khan himself! 
Youthion k sth ek or scam"
205,@teepusahab Aik operation dikha dai Jo sehat card mai nawaz sharif kai daur mai hua ho taklay. Kabi dimagh hi chala liya kar
206,@black1928 @NoreenSaleha @iqrarulhassan Teri Maaa ki me niklwaun ga kuty k bachy kabes insan daly Beh pesh kr me niklwata hun uski Tjhy social@media pe ksi se bt krny ki tameez ni zalel insn Apni behn bejh usko me sehat card se Delivery krwaun ga
207,"@AyaanAk31987967 @WajeehAliZaidi @MoizUrRehman_ @MaryamNSharif Insaf Card, Sehat Card,  and other programs like these were already running....
Nothing new... Just make another fake/false sympathy act and changed their colour &amp; name
#TAESH https://t.co/Fwz3kvqdDo"
208,@smallbalance1 @AimalWali @CMShehbaz Beghairata ihsas parogram aw sehat card drna heer d
209,"@RashidMurad Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economicboost.                 
Apna level check kr ghatia aurat"
210,"Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.                 

1/"
211,"@TaibaBhatti4 @noirroad @ShazaFK @ImranKhanPTI jahil orat ya sehat card parhna ata ya nae UHC ki recommendations udr tokh dala 

es sa oper lines 2013 mn start kia Nawaz sharif 

kheir ap jahil andhay log hmara kia lgy raho apko smjana dawar mn takar k mutradaf ha"
212,☹️☹️ 10 Laakh Ka Sehat Card Cheen Ke 10 Kilo Sasta Aata Zaleel O Khawaar Ho Ke Wo Bhi 100 Main Se Ayk Ko Mila ☹️☹️ https://t.co/fVtrHY7Nm6
213,"@MaryamNSharif Hum nay kar ke dikhaya:-
Sehat card khatam
ATTA khatam
Apnay Cases khatam
Democracy khatam
Awam ko Zaleel
Petrol mehenga
Ghee/oil mehenga
Sabzi/fruit mehenga
PDM (PAKISTAN DAKOO MOVEMENT)"
214,"Me watching khan talking about Redhi baans, Housing scheme, ehsas program, sehat card even when there's no surity whether elections are gonna be held or not. Whether he'd be in govt or not. Khan is Khan.🥹🫀 https://t.co/gyYjiVBnU2"
215,"Feel the difference Imran Khan vs Maryam chorni speech
Imran Khan: Export plans,tourism boost, remittances, IT export, tax collection,money laundering, loans,sehat card,ration plan,economic boost
Maryam chorni:Tosha Khan, Ghari chor,Fitna,Fasad, Nashai,Niazi,Na ehel.petrol bomb"
216,"@teepusahab Alot of other govt introduced similar cards but execution and coverage was small
Sehat cards coverage and execution was bar none 
Have worked in a government hospital and sehat card was a blessing for the poor"
217,"Feel the difference (Imran Khan vs Maryam chorni speech)
Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.                 
Maryam chorni: Tosha Khan, Ghari chor, Fitna, Fasad, Nashai"
218,"@MirzaAlmateen @TararAttaullah @imranba42259850 Jahil admi
Sehat card Tere baap ne Dia tha?
Tm jaisy JAhilo ko khud Kuch nzr nhi ata to bugaz Imran me Mr jao"
219,@kukuking3 @SdqJaan Or aaj ap usi murghi or katy k liye mar rhy hain hain. 10 lac k sehat card say Atay ki lineo k safar kesa raha maza aa rha hoga. Plz mjy btye ga imran k 3.5 saal mein kb lagi aty k liye lines. Us say phly b lagain or us k bd b lgi hui hain
220,@syed_bacha @CMShehbaz @NawazSharifMNS Then why mian sb close it when he came to power. That is sad reality that on one side they are claiming the thing and all hospitals were asked to stop entertaining the sehat card patients.
221,@iihtishamm Well it's 10kg 3 bags 10*3 = 30kg free atta in benazir income support account and the sehat card of Imran Khan remain the same if someone wants to use that they can.. so relax  muft atta k leye line to lagni.. https://t.co/2JR3WmEOvJ
222,"Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.                 

Maryam chorni: Tosha Khan, Ghari chor, Fitna, Fasad"
223,@hinaparvezbutt Sehat Card pr eyes ka muft operation krwaen madam jakr
224,@_ImranRiazFan Ik sal ma 1000000 KY sehat card Sy 10 kelo aaty py hum aa gaiy
225,"@nomhaq @ShazaFK @ImranKhanPTI 1. This tweet is from 2018
2. Sehat card was started by PTI in kpk around 2014/2015

Open source check Kar laitien!

3. He is saying faces like sharif and names like benazir should not be on gov. Projects"
226,@hinaparvezbutt Agli bar jb khan PM ban jaye to is gareeb aurat ko bhi koi sehat card banwa kar de dena apni ankhon ka ilaaj karwa legi..
227,"@MNQHI @AajKamranKhan J-10 Jahaz
Nawaz Sehat Card Zere Zameen Mansoba Tha?
9 Dam Mai Aik Mukammal Thaa Bazi Band Kar Deyai Gai
Imran Khan Ke Akhre Export 34 Billon Dollar Thee Jo 38 Pae Jani Thee PMLN Nae IMF Ko Yahi Bataya Export 38 Ho Ge Par Ab 27 Billion Pae Aa Chuki
Pakistan Ka Sub Se Bara Masla?"
228,@hinaparvezbutt Lagta hai ye bhengi k saath saath andhi bhi hai... Agli bar jb khan PM banega to koi is bechari ko bhi sehat card banwa dena takay apni eyes ka ilaaj karwa sake..
229,@hinaparvezbutt Kash Sehat card hota to ap ankho ka treatment krwa letein
230,@ShazaFK @ImranKhanPTI What are you saying? Sehat card is PTI initiative and PMLN crooked party leaders are plastering their photos on the card to use it for politics and votes.
231,"Feel the difference (Imran Khan vs Maryam chorni speech)
Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.                 
Maryam chorni: Tosha Khan, ghari
#چلو_چلو_مینار_پاکستان_چلو"
232,"@iqrarulhassan Record Exports
Record GDP
Record Remittances 
Record Tax Collection 
Sehat Card, Kamyab Nojawan Programme 
Corona Listed in Top 3 Countries
Hosted OIC in Pakistan 
Passed Islamophobia Resolution 
Promoted Tourism in history 
Terrorism Non- Existent 

@iqrarulhassan bro"
233,"tax collection   conflict of interest by FBR chairman
Health card/insurance.  Rebranded Nawaz Sharif Sehat Card
ration plan  Mafia benefited 
Loans   only released to PTI workers no recovery recorded
house financing     not a single House completed yet 
3/3"
234,"@SNajeebsanjrani @PTIofficial Khan nay tumhain jo sehat card diya Kabhi zindagi main Tum nay sunna hi nahi hona .. 
Salay Sehat card par ilaj krwa k is par bakwasain krtay ho"
235,"Feel the difference (Imran Khan vs Maryam chorni speech)
Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.
Maryam chorni: Tosha Khan, Ghari chor, Fitna, Fasad NashaiNiazi dehshatgard"
236,@hinaparvezbutt Jetne by pmln k log ha os sehat card pe nazar ka ilaj karna zarory ha so plz jaldy kare
237,"@MNQHI @AajKamranKhan 9 Dams 
Sehat Card 
J-10 Jahaz
24.7 Se 38 Billion Dollars Economy"
238,"Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.                 

Maryam chorni: Tosha Khan, Ghari chor, Fitna, Fasad, Nashai, Niazi, Na ehel, Amran Khan, petrol bomb, dehshatgard"
239,"dif. b/w IK vs MS
Imran Khan: Exp.plans, tourism bst, remittances, tax collection, money laundering, loans, sehat card, ration plan, eco. boost.                 
Maryam: Tosha Khan, Ghari chor, Fitna, Fasad, Niazi, Na ehel, Amran Khan, petrol bomb, dehshatgard
#حقیقی_آزادی_جلسہ"
240,"Feel the difference (Imran Khan vs Maryam speech)
Imran Khan: Export plans, tourism boost, remittances, IT export,tax collection,money laundering, loans, sehat card, ration plan, economic boost.  

Maryam:Tosha Khan, Ghari chor, Fitna, Fasad, Nashai, Niazi...
#StatesmanSpeech"
241,"Imran Khan: Exports tourism boost industry remittances IT tax Revenue money laundering loans sehat card ration plan

Maryam chorni: Tosha Ghari chor Fitna Fasad Nashai Na ehel Talibon petrol bumb dehshatgard
#حقیقی_آزادی_جلسہ 
#چلو_چلو_مینار_پاکستان_چلو
 #جلسہ_نہیں_ریفرینڈم_ہے"
242,"Feel the difference (Imran Khan vs Maryam speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economicboost.

Maryam Nawaz: Tosha Khan, Ghari chor, Fitna, Fasad, Niazi, Na ehel, Amran Khan"
243,"Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economicboost.                 
1/2"
244,"Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost."
245,"Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economic boost.                 

Maryam chorni: Tosha Khan, Ghari chor,

#StatesmanSpeech"
246,"Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economicboost.

Maryam Nawaz: Tosha Khan, Ghari chor, Fitna, Fasad, Nashai, Niazi, Na ehel."
247,"Feel the difference (Imran Khan vs Maryam chorni speech)

Imran Khan: Export plans, tourism boost, remittances, IT export, tax collection, money laundering, loans, sehat card, ration plan, economicboost.                 

Maryam Nawaz: Tosha Khan, Ghari chor, Fitna, Fasad, Nashai"
248,"@ThisMyHandle Agreed, Sehat card has perfectly illustrated that it's better to outsource &amp; privatize instead of trying to do it yourself"
249,"1 - Overseas Pak investment, 2 - VIP treatment of exporters,3 - Tourism, 4 -Minerals 5, Small and medium industry plan, 6 - Ageicultural productivity, 7- Restructuring Gov Industries, 8- widening the tax base,9 -Stopping Money-launder, 10-Reinstating Sehat Card/targeted subsidies"
250,IK vows to restart Sehat Card once he is back in power insha'Allah.
251,"ان سب کے لیۓ جو یہ نہیں کہتے تہکتے تھے کہ Sehat card پی ٹی آی کا project ہیں۔ 
#LahoreRejectsFitna
#LahoreRejectsFitna"
252,"Once this martial law is over, I hope Khan would consider adding therapy under Sehat Card."
253,"@KasimGillani Itna awaam ka khayal hai to sehat sahulaat card kyn band kiya. Panahga kyun band kya. 
Ab 10KG atta de ke tum log aisan jata rahe ho?"
254,"@HARISAL60142270 @IrfanUK11 @betterpakistan Ma b narowal se hn, us ne natowal me jo b bnaya, hmary paise se bnaya, or kitne paisy ka bnaya, us se 10 guna ziada kmaya. Apni jaib se ek ropiya b ni lgaya. For ur kind information.  PTI govt ne Pakistan ko sehat card de kr hr 1 saal k liye 10 lakh k muft ilaj ki sahilat de di."
255,"Sehat Card story in 9 minutes;
Full segment:
https://t.co/L9jeDx2QSg

Full interview with @hoflolz:
https://t.co/05VmiXJSTd
#ReleaseAzharMashwani #JENNIE #رمضان_الخير_2023 #UkraineRussiaWar #بیگم_زدہ_جج 
#LoveIsBlind #چلو_چلو_مینار_پاکستان_چلو"
256,@motasim @ShahidMohmand79 @OmniscientXo Journey from Sehat Card to 10 kg free Aata in a year !
257,@pmln_org Kar ly ye drama log en baton sy impress hony waly ni ..Lakhon ka sehat card langur Khatm musafar khany band kar k logon ko lolypop ni dy sakty tum log https://t.co/pTadWx3eRz
258,"@scentia111 @Atifrauf79 @MaryamNSharif Apny Abu Ka tweet to parh lo or khud btao Kia jhoot or such ha
Woh Jo kehta tha k sehat card us ny bnaya ha"
259,@MaryamNSharif Apply for a sehat card to get those eyes checked https://t.co/ji7dk71Smu
260,Health card? Pakistan health card or Insaf Sehat Card? Rebranding...
261,"@ShazaFK @ImranKhanPTI shaza are you serious? This is the calibre of someone who is in gov.

1. This tweet is from 2018
2. Sehat card was started by PTI in kpk around 2014/2015

Open source check Kar laitien!

3. He is saying faces like sharif and names like benazir should not be on gov. Projects!"
262,"@draffanqaiser Janab aap k mahaatma sahb ko b maloom Hy k sehat card Nawaz Sharif ney start Kiya tha, baad mey aap k mahaatma ney iska Naam change kr diya https://t.co/cXeSxpOEhb"
263,"@MaryamNSharif Faruden, Garagen, Pakistani logo ki dushman, sehat card band kar wane wali, Qatariyo k pass Jane wali, toosha khana se car lene wali aur khud baichne wali kitna naam hain tumhare muqabala karo na asim k peeche kyun chup rehi ho"
264,"Those who claim that Iman Khan start Sehat Card Initiative, here's a proof that it was started in back PMLN gov"
265,@ImranKhanPTI So sehat card is Nawaz Sharif Project
266,"People would tweet and RT absolute garbage just to throw dirt on IK. Sehat Card was a universal healthcare program. This, on the other hand, was not."
267,@draffanqaiser Dr sb kal tu ap ne sehat card pr nuft operation  krty hoy taaveer lagyi thi aaj itni jaldi badl gaya byan tu aik rkh deputy
268,"@isht1aqahmed @saifullahawan40 2500 billion Rs? Haha Pti Govt Ne 45 Billion Ka Karza liya
27 Billion Wapis Kiye 
7 Billion intrest wapis kiya 
6 billion Govt Ne Forien Exchange Reserve mein add kiye 
5 Billion Ka Hisaab : 3 Dams start Sehat Card Panaah Gaah kamyaab jawaaan 

Patwario Tum Parhey likhe nhi ho"
269,Sehat card https://t.co/aMk5QqXyBh
270,Later he pasted PTI's flag and his own shitty face on Sehat card
271,1 chutia ny tweet kia keh imran ky doar my1 bnda doctor na any ke waja sy poot hogia abi ye baath be suno 1 haptha pehly mery bhn ke operation blkul free hua tha sehat card py wo be blkuk tek tak our ye sehat card imran ny banya .lako ghreeb free my elaj krthy hy
272,Imran Khan gives credit of Sehat Card to PMLN 😂😂
273,@rizwanm89549466 @SarfrazzPMLN @mansoor_zaigham Sehat insaaf card kya tha?
274,"@AimalWali @CMShehbaz Inappropriate... sehat card (10 lac worth) for a lifetime. Free atta is for 2 days, and for very few people. Your political understanding is 0/0. A welfare democratic and social state can't be run this way. You do not have vision. You are focused on corruption and authority"
275,"@atifthepoet Apny abu ko kaho keh worldcup bhe jeet aey r yeh sari foundations banaey r Sehat card ka ijraa krwaey r phr bhe woh khan k baraber nai ho skta.
Khan has Good Vision and Allah will bless Pakistan through him."
276,@mkhankhakwani Bro KPK mai 2015 mai first sehat card introduce huwa
277,@0007_Romeo Oo bhai 2015 mai KPK mai sehat card imran khan ne introduce krwaya
278,@YaarGuruu sehat card was introduced in KPK in 2015
